dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
2.0	2017-01-19	8019	ALICANTE-ELCHE AEROPUERTO	76.1	1014.5	1006.9	ALICANTE	20.6		10.3	7.6	5.0	6.9
8.0	2017-01-19	5783	SEVILLA AEROPUERTO	0.0	1014.0	1010.7	SEVILLA	8.3	2.3	12.6	6.3	0.0	2.5
12.0	2017-01-20	1212E	ASTURIAS AEROPUERTO	0.0	1008.5	1006.0	ASTURIAS	8.9	8.3	9.1	4.0	-1.1	2.8
5.0	2017-01-20	8019	ALICANTE-ELCHE AEROPUERTO	0.8	1012.7	1009.6	ALICANTE	10.3		17.1	12.0	7.0	4.4
99.0	2017-01-20	5783	SEVILLA AEROPUERTO	0.0	1014.5	1010.1	SEVILLA	5.0	3.3	12.4	7.8	3.2	0.0
21.0	2017-01-21	1212E	ASTURIAS AEROPUERTO	0.0	1007.0	1004.7	ASTURIAS	8.9	8.3	11.8	6.3	0.8	2.2
99.0	2017-01-21	8019	ALICANTE-ELCHE AEROPUERTO	4.6	1010.8	1006.3	ALICANTE	15.3		12.1	9.8	7.6	6.4
99.0	2017-01-21	5783	SEVILLA AEROPUERTO	0.0	1016.5	1013.4	SEVILLA	4.7	9.5	14.8	7.6	0.5	0.6
99.0	2017-01-22	1212E	ASTURIAS AEROPUERTO	0.5	1008.6	1005.7	ASTURIAS	6.7	1.3	11.0	7.5	4.0	1.1
34.0	2017-01-22	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1012.1	1007.3	ALICANTE	16.4		14.1	12.0	10.0	5.0
99.0	2017-01-22	5783	SEVILLA AEROPUERTO	0.0	1017.0	1013.3	SEVILLA	6.7	9.5	15.3	8.4	1.4	2.8
22.0	2017-01-23	1212E	ASTURIAS AEROPUERTO	0.0	1011.1	1008.3	ASTURIAS	8.3	8.1	12.6	7.8	3.0	1.9
36.0	2017-01-23	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1015.5	1011.4	ALICANTE	10.8		14.7	11.4	8.2	4.4
99.0	2017-01-23	5783	SEVILLA AEROPUERTO	0.0	1019.7	1014.7	SEVILLA	4.7	9.7	15.8	8.4	0.9	0.3
21.0	2017-01-24	1212E	ASTURIAS AEROPUERTO	0.0	1012.7	1009.5	ASTURIAS	8.9	9.2	12.6	7.2	1.8	3.6
99.0	2017-01-24	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1018.9	1014.3	ALICANTE	11.7		15.8	11.0	6.1	5.6
99.0	2017-01-24	5783	SEVILLA AEROPUERTO	0.0	1023.4	1019.3	SEVILLA	5.0	9.7	15.6	8.1	0.6	1.7
22.0	2017-01-25	1212E	ASTURIAS AEROPUERTO	0.0	1009.5	999.8	ASTURIAS	8.9	9.1	11.2	6.3	1.4	4.2
99.0	2017-01-25	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1018.3	1013.5	ALICANTE	10.8		19.5	12.3	5.1	5.0
22.0	2017-01-25	5783	SEVILLA AEROPUERTO	0.0	1022.0	1016.9	SEVILLA	6.7	9.0	15.6	8.0	0.4	1.7
21.0	2017-01-26	1212E	ASTURIAS AEROPUERTO	1.2	999.8	988.1	ASTURIAS	8.9	1.3	12.9	7.6	2.4	2.5
99.0	2017-01-26	8019	ALICANTE-ELCHE AEROPUERTO		1015.6	1011.8	ALICANTE	6.1		17.5	11.5	5.5	3.1
17.0	2017-01-26	5783	SEVILLA AEROPUERTO	10.6	1017.2	1004.2	SEVILLA	14.4	2.4	15.9	10.6	5.4	1.7
29.0	2017-01-27	1212E	ASTURIAS AEROPUERTO	3.8	1000.2	986.6	ASTURIAS	20.0	2.8	13.8	10.0	6.3	5.6
31.0	2017-01-27	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1011.8	1005.8	ALICANTE	9.7		18.5	13.0	7.6	3.6
29.0	2017-01-27	5783	SEVILLA AEROPUERTO	1.6	1019.0	1007.0	SEVILLA	14.4	6.8	15.3	11.2	7.2	5.6
26.0	2017-01-28	1212E	ASTURIAS AEROPUERTO	0.5	1006.1	1000.2	ASTURIAS	12.8	4.8	13.7	10.1	6.5	3.3
30.0	2017-01-28	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.1	1009.8	ALICANTE	19.7		16.1	11.2	6.4	8.6
99.0	2017-01-28	5783	SEVILLA AEROPUERTO	0.0	1023.8	1019.0	SEVILLA	6.1	9.2	16.3	10.2	4.0	1.7
99.0	2017-01-29	1212E	ASTURIAS AEROPUERTO	0.1	1004.8	1000.2	ASTURIAS	6.1	0.9	18.1	12.6	7.1	2.5
99.0	2017-01-29	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1023.6	1020.8	ALICANTE	9.7		18.0	13.4	8.8	4.7
3.0	2017-01-29	5783	SEVILLA AEROPUERTO	0.0	1024.5	1021.7	SEVILLA	4.7	7.7	17.6	11.6	5.7	0.8
23.0	2017-01-30	1212E	ASTURIAS AEROPUERTO	1.8	1003.7	996.6	ASTURIAS	5.8	0.1	17.0	13.8	10.5	0.6
30.0	2017-01-30	8019	ALICANTE-ELCHE AEROPUERTO	0.2	1021.6	1016.0	ALICANTE	10.3		21.7	15.0	8.2	3.1
4.0	2017-01-30	5783	SEVILLA AEROPUERTO	0.0	1023.4	1014.8	SEVILLA	6.1	9.8	18.9	12.5	6.1	1.1
18.0	2017-01-31	1212E	ASTURIAS AEROPUERTO	0.5	998.7	995.2	ASTURIAS	8.3	0.2	15.5	12.3	9.1	0.8
36.0	2017-01-31	8019	ALICANTE-ELCHE AEROPUERTO		1016.0	1013.1	ALICANTE	4.7		21.2	13.9	6.6	1.4
23.0	2017-01-31	5783	SEVILLA AEROPUERTO	0.2	1014.8	1010.9	SEVILLA	7.2	8.0	18.0	11.8	5.5	1.1
19.0	2017-02-01	1212E	ASTURIAS AEROPUERTO	2.3	998.0	987.3	ASTURIAS	7.2	7.3	17.4	12.6	7.7	2.8
99.0	2017-02-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1015.9	1013.6	ALICANTE	5.0		20.9	13.9	6.9	3.1
27.0	2017-02-01	5783	SEVILLA AEROPUERTO	0.5	1017.8	1013.8	SEVILLA	7.2	5.6	18.0	13.8	9.6	3.1
22.0	2017-02-02	1212E	ASTURIAS AEROPUERTO	9.2	993.8	982.2	ASTURIAS	20.0	5.5	15.3	12.1	8.9	5.8
21.0	2017-02-02	8019	ALICANTE-ELCHE AEROPUERTO		1016.2	1012.0	ALICANTE	5.8		17.2	12.4	7.7	1.7
22.0	2017-02-02	5783	SEVILLA AEROPUERTO	4.2	1018.8	1013.0	SEVILLA	12.5	2.0	17.6	14.2	10.8	3.6
25.0	2017-02-03	1212E	ASTURIAS AEROPUERTO	22.9	992.9	981.8	ASTURIAS	30.8	2.0	13.5	10.4	7.4	6.7
	2017-02-03	8019	ALICANTE-ELCHE AEROPUERTO	0.0			ALICANTE						
25.0	2017-02-03	5783	SEVILLA AEROPUERTO	0.0	1020.6	1017.8	SEVILLA	12.5	4.4	18.3	14.6	10.9	5.0
25.0	2017-02-04	1212E	ASTURIAS AEROPUERTO	24.4	995.4	983.3	ASTURIAS	29.2	0.0	14.9	11.4	7.9	5.8
99.0	2017-02-04	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1016.5	1012.5	ALICANTE	8.9		22.7	16.4	10.2	3.9
22.0	2017-02-04	5783	SEVILLA AEROPUERTO	8.8	1020.4	1017.4	SEVILLA	15.0	1.8	17.5	15.4	13.3	6.4
29.0	2017-02-05	1212E	ASTURIAS AEROPUERTO	7.1			ASTURIAS	39.7	1.8	11.4	8.4	5.3	
31.0	2017-02-05	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.6	1009.0	ALICANTE	25.3		21.7	15.8	10.0	9.7
99.0	2017-02-05	5783	SEVILLA AEROPUERTO	0.0	1028.1	1016.7	SEVILLA	13.9	8.3	18.2	13.8	9.3	5.0
	2017-02-06	1212E	ASTURIAS AEROPUERTO	3.0			ASTURIAS		3.4				5.3
31.0	2017-02-06	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.1	1017.4	ALICANTE	17.5		21.6	15.8	10.1	6.1
99.0	2017-02-06	5783	SEVILLA AEROPUERTO	0.0	1029.3	1025.2	SEVILLA	6.1	10.0	18.1	11.8	5.5	1.1
32.0	2017-02-07	1212E	ASTURIAS AEROPUERTO	3.9			ASTURIAS	19.2		13.2			5.8
30.0	2017-02-07	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1018.9	1012.9	ALICANTE	20.6		23.5	19.0	14.6	10.0
99.0	2017-02-07	5783	SEVILLA AEROPUERTO	0.0	1025.9	1021.4	SEVILLA	4.2	7.9	18.8	12.3	5.8	0.8
24.0	2017-02-08	1212E	ASTURIAS AEROPUERTO	0.1			ASTURIAS	16.9	6.1	11.7			1.9
29.0	2017-02-08	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.1	1016.7	ALICANTE	18.1		18.7	13.8	8.8	6.7
7.0	2017-02-08	5783	SEVILLA AEROPUERTO	0.0	1025.6	1022.1	SEVILLA	9.7	10.3	17.2	11.0	4.8	2.8
18.0	2017-02-09	1212E	ASTURIAS AEROPUERTO	0.0	1010.6	991.5	ASTURIAS	7.2	3.1	12.9	8.0	3.0	2.8
99.0	2017-02-09	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.9	1012.9	ALICANTE	9.7		19.4	13.0	6.6	2.2
5.0	2017-02-09	5783	SEVILLA AEROPUERTO	1.7	1022.7	1010.1	SEVILLA	11.4	9.3	16.7	10.4	4.2	3.6
21.0	2017-02-10	1212E	ASTURIAS AEROPUERTO	7.7	998.8	990.6	ASTURIAS	7.2	6.3	13.8	9.5	5.2	1.4
99.0	2017-02-10	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1013.2	1009.7	ALICANTE	10.8		16.2	11.2	6.1	4.2
99.0	2017-02-10	5783	SEVILLA AEROPUERTO	2.3	1010.6	1006.5	SEVILLA	7.2	3.2	13.6	10.4	7.1	3.3
9.0	2017-02-11	1212E	ASTURIAS AEROPUERTO	14.4	1000.5	994.9	ASTURIAS	13.3	0.0	8.3	6.8	5.4	4.7
7.0	2017-02-11	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1010.1	1002.4	ALICANTE	15.3		17.2	14.2	11.3	7.2
8.0	2017-02-11	5783	SEVILLA AEROPUERTO	5.9	1006.6	996.3	SEVILLA	9.7	0.0	14.4	11.4	8.5	4.2
13.0	2017-02-12	1212E	ASTURIAS AEROPUERTO	0.0	994.9	979.8	ASTURIAS	15.0	3.1	14.2	10.2	6.2	4.2
7.0	2017-02-12	8019	ALICANTE-ELCHE AEROPUERTO	0.7	1003.8	1000.0	ALICANTE	10.8		19.5	16.8	14.1	5.0
16.0	2017-02-12	5783	SEVILLA AEROPUERTO	18.1	996.7	991.7	SEVILLA	16.9	0.0	15.0	13.3	11.6	6.4
26.0	2017-02-13	1212E	ASTURIAS AEROPUERTO	3.2	998.0	979.7	ASTURIAS	11.4	1.9	15.6	11.6	7.5	2.2
26.0	2017-02-13	8019	ALICANTE-ELCHE AEROPUERTO	0.5	1014.4	999.0	ALICANTE	15.0		23.0	16.8	10.7	3.3
18.0	2017-02-13	5783	SEVILLA AEROPUERTO	0.1	1014.9	992.4	SEVILLA	16.1	7.0	17.8	14.2	10.7	3.6
20.0	2017-02-14	1212E	ASTURIAS AEROPUERTO	0.1	1007.8	998.0	ASTURIAS	8.3	2.9	19.2	12.6	6.1	1.1
4.0	2017-02-14	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1024.9	1014.4	ALICANTE	7.2		23.4	16.0	8.6	3.6
99.0	2017-02-14	5783	SEVILLA AEROPUERTO	0.0	1021.2	1014.9	SEVILLA	6.1	5.8	18.1	13.6	9.0	1.7
99.0	2017-02-15	1212E	ASTURIAS AEROPUERTO	0.0	1014.9	1007.8	ASTURIAS	6.1	5.8	17.8	13.4	9.1	1.7
8.0	2017-02-15	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1028.8	1024.8	ALICANTE	11.4		19.6	13.7	7.8	5.0
99.0	2017-02-15	5783	SEVILLA AEROPUERTO	0.0	1023.4	1020.3	SEVILLA	11.4	9.3	20.0	14.7	9.4	6.1
21.0	2017-02-16	1212E	ASTURIAS AEROPUERTO	0.0	1015.0	1013.1	ASTURIAS	8.3	8.7	16.9	12.2	7.5	2.2
99.0	2017-02-16	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1028.9	1026.4	ALICANTE	8.9		20.0	14.4	8.7	3.6
7.0	2017-02-16	5783	SEVILLA AEROPUERTO	0.0	1024.6	1022.1	SEVILLA	9.7	8.3	20.1	15.1	10.1	4.4
21.0	2017-02-17	1212E	ASTURIAS AEROPUERTO	0.6	1013.1	1008.6	ASTURIAS	8.3	10.1	18.4	13.2	8.1	1.7
11.0	2017-02-17	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1026.9	1021.6	ALICANTE	7.2		19.2	14.2	9.2	3.1
99.0	2017-02-17	5783	SEVILLA AEROPUERTO	0.0	1024.1	1020.1	SEVILLA	5.0	9.0	19.7	14.0	8.3	2.2
31.0	2017-02-18	1212E	ASTURIAS AEROPUERTO	2.4	1009.5	1005.8	ASTURIAS	6.1	0.0	12.6	10.1	7.6	0.6
99.0	2017-02-18	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.6	1016.0	ALICANTE	7.2		19.5	12.9	6.3	2.5
23.0	2017-02-18	5783	SEVILLA AEROPUERTO	5.5	1021.8	1014.3	SEVILLA	7.8	8.3	18.8	12.8	6.8	1.9
99.0	2017-02-19	1212E	ASTURIAS AEROPUERTO	0.0	1014.9	1009.5	ASTURIAS	6.7	9.3	14.5	10.6	6.6	2.5
99.0	2017-02-19	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.8	1017.3	ALICANTE	12.8		17.7	13.2	8.7	6.4
	2017-02-19	5783	SEVILLA AEROPUERTO		1018.2	1012.2	SEVILLA		4.7	17.8	14.2	10.6	4.4
18.0	2017-02-20	1212E	ASTURIAS AEROPUERTO	0.0	1014.4	1012.3	ASTURIAS	9.7	7.3	13.8	9.9	6.0	1.1
99.0	2017-02-20	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.4	1019.9	ALICANTE	14.4		17.1	12.7	8.3	6.4
7.0	2017-02-20	5783	SEVILLA AEROPUERTO	0.0	1017.9	1014.0	SEVILLA	15.0	0.2	16.4	12.6	8.8	6.1
99.0	2017-02-21	1212E	ASTURIAS AEROPUERTO	0.0	1013.4	1009.1	ASTURIAS	6.7	0.2	13.6	10.2	6.8	3.3
7.0	2017-02-21	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.2	1018.5	ALICANTE	12.8		18.7	13.8	8.8	5.6
99.0	2017-02-21	5783	SEVILLA AEROPUERTO	0.0	1015.4	1011.6	SEVILLA	13.9	7.6	20.6	16.1	11.6	5.6
20.0	2017-02-22	1212E	ASTURIAS AEROPUERTO	0.0	1009.3	1002.2	ASTURIAS	8.3	0.5	12.3	10.5	8.7	1.9
7.0	2017-02-22	8019	ALICANTE-ELCHE AEROPUERTO	3.4	1019.6	1015.0	ALICANTE	11.7		19.5	14.5	9.5	4.7
99.0	2017-02-22	5783	SEVILLA AEROPUERTO	0.0	1014.2	1009.0	SEVILLA	8.3	6.9	21.9	15.9	9.9	2.8
28.0	2017-02-23	1212E	ASTURIAS AEROPUERTO	7.1	1004.3	1001.4	ASTURIAS	9.7	1.3	13.8	11.0	8.3	2.5
7.0	2017-02-23	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1015.4	1006.9	ALICANTE	11.7		21.7	17.4	13.1	4.7
8.0	2017-02-23	5783	SEVILLA AEROPUERTO	8.1	1011.5	1008.2	SEVILLA	9.2	0.5	16.4	14.1	11.8	1.1
10.0	2017-02-24	1212E	ASTURIAS AEROPUERTO	0.0	1007.5	1004.3	ASTURIAS	8.9	3.5	13.5	9.1	4.7	2.2
5.0	2017-02-24	8019	ALICANTE-ELCHE AEROPUERTO	1.2	1013.9	1007.4	ALICANTE	7.2		20.7	16.8	12.9	2.2
99.0	2017-02-24	5783	SEVILLA AEROPUERTO		1015.1	1009.8	SEVILLA	6.7	5.2	19.8	15.0	10.3	1.7
